Prediction,Truth,Recording
Toilet flush,Toilet flush,1-46274-A.ogg
Hand saw,Hand saw,1-46353-A.ogg
Hand saw,Hand saw,1-46353-A.ogg
Vacuum cleaner,Vacuum cleaner,1-46744-A.ogg
Vacuum cleaner,Vacuum cleaner,1-46744-A.ogg
Insects (flying),Insects (flying),1-46938-A.ogg
Insects (flying),Insects (flying),1-46938-A.ogg
Cow,Chainsaw,1-47250-A.ogg
Chainsaw,Chainsaw,1-47250-A.ogg
Hand saw,Chainsaw,1-47250-B.ogg
Chainsaw,Chainsaw,1-47250-B.ogg
Sneezing,Sneezing,1-47273-A.ogg
Coughing,Sneezing,1-47273-A.ogg
Sneezing,Sneezing,1-47274-A.ogg
Sneezing,Sneezing,1-47274-A.ogg
Train,Wind,1-47709-A.ogg
Thunderstorm,Wind,1-47709-A.ogg
Wind,Wind,1-47714-A.ogg
Wind,Wind,1-47714-A.ogg
Cat,Cat,1-47819-A.ogg
Cat,Cat,1-47819-A.ogg
Cat,Cat,1-47819-B.ogg
Cat,Cat,1-47819-B.ogg
Cat,Cat,1-47819-C.ogg
Cat,Cat,1-47819-C.ogg
Snoring,Snoring,1-47923-A.ogg
Snoring,Snoring,1-47923-A.ogg
Church bells,Church bells,1-48298-A.ogg
Church bells,Church bells,1-48298-A.ogg
Clock tick,Clock tick,1-48413-A.ogg
Clock tick,Clock tick,1-48413-A.ogg
Vacuum cleaner,Washing machine,1-49098-A.ogg
Washing machine,Washing machine,1-49098-A.ogg
Sheep,Sheep,1-49409-A.ogg
Sheep,Sheep,1-49409-A.ogg
Sheep,Sheep,1-49409-B.ogg
Sheep,Sheep,1-49409-B.ogg
Rain,Rain,1-50060-A.ogg
Rain,Rain,1-50060-A.ogg
Engine,Engine,1-50455-A.ogg
Engine,Engine,1-50455-A.ogg
Water drops,Water drops,1-50623-A.ogg
Water drops,Water drops,1-50623-A.ogg
Pouring water,Pouring water,1-50625-A.ogg
Water drops,Pouring water,1-50625-A.ogg
Engine,Engine,1-50661-A.ogg
Engine,Engine,1-50661-A.ogg
Pouring water,Pouring water,1-50688-A.ogg
Water drops,Pouring water,1-50688-A.ogg
Train,Wind,1-51035-A.ogg
Wind,Wind,1-51035-A.ogg
Sea waves,Wind,1-51036-A.ogg
Sea waves,Wind,1-51036-A.ogg
Sea waves,Wind,1-51037-A.ogg
Wind,Wind,1-51037-A.ogg
Footsteps,Footsteps,1-51147-A.ogg
Keyboard typing,Footsteps,1-51147-A.ogg
Toilet flush,Toilet flush,1-51170-A.ogg
Toilet flush,Toilet flush,1-51170-A.ogg
Pouring water,Pouring water,1-51433-A.ogg
Pouring water,Pouring water,1-51433-A.ogg
Water drops,Pouring water,1-51436-A.ogg
Water drops,Pouring water,1-51436-A.ogg
Door - wood creaks,Door - wood creaks,1-51805-A.ogg
Door - wood creaks,Door - wood creaks,1-51805-A.ogg
Door - wood creaks,Door - wood creaks,1-51805-B.ogg
Door - wood creaks,Door - wood creaks,1-51805-B.ogg
Door - wood creaks,Door - wood creaks,1-51805-C.ogg
Door - wood creaks,Door - wood creaks,1-51805-C.ogg
Door - wood creaks,Door - wood creaks,1-51805-D.ogg
Door - wood creaks,Door - wood creaks,1-51805-D.ogg
Door - wood creaks,Door - wood creaks,1-51805-E.ogg
Door - wood creaks,Door - wood creaks,1-51805-E.ogg
Door - wood creaks,Door - wood creaks,1-51805-F.ogg
Door - wood creaks,Door - wood creaks,1-51805-F.ogg
Snoring,Door - wood creaks,1-51805-G.ogg
Door - wood creaks,Door - wood creaks,1-51805-G.ogg
Door - wood creaks,Door - wood creaks,1-51805-H.ogg
Door - wood creaks,Door - wood creaks,1-51805-H.ogg
Coughing,Coughing,1-52266-A.ogg
Coughing,Coughing,1-52266-A.ogg
Door knock,Door knock,1-52290-A.ogg
Door knock,Door knock,1-52290-A.ogg
Coughing,Coughing,1-52323-A.ogg
Coughing,Coughing,1-52323-A.ogg
Snoring,Snoring,1-53444-A.ogg
Snoring,Snoring,1-53444-A.ogg
Helicopter,Airplane,1-53467-A.ogg
Helicopter,Airplane,1-53467-A.ogg
Keyboard typing,Keyboard typing,1-53501-A.ogg
Keyboard typing,Keyboard typing,1-53501-A.ogg
Coughing,Coughing,1-53663-A.ogg
Coughing,Coughing,1-53663-A.ogg
Toilet flush,Toilet flush,1-53670-A.ogg
Train,Train,1-54065-A.ogg
Train,Train,1-54065-A.ogg
Toilet flush,Train,1-54065-B.ogg
Wind,Train,1-54065-B.ogg
Siren,Siren,1-54084-A.ogg
Siren,Siren,1-54084-A.ogg
Sneezing,Sneezing,1-54505-A.ogg
Sneezing,Sneezing,1-54505-A.ogg
Church bells,Church bells,1-54747-A.ogg
Church bells,Church bells,1-54747-A.ogg
Toilet flush,Toilet flush,1-54752-A.ogg
Toilet flush,Toilet flush,1-54752-A.ogg
Chirping birds,Chirping birds,1-54918-B.ogg
Chirping birds,Chirping birds,1-54918-B.ogg
Rain,Rain,1-54958-A.ogg
Rain,Rain,1-54958-A.ogg
Crow,Crow,1-56233-A.ogg
Crow,Crow,1-56233-A.ogg
Crow,Crow,1-56234-A.ogg
Crow,Crow,1-56234-A.ogg
Pig,Toilet flush,1-56269-A.ogg
Toilet flush,Toilet flush,1-56269-A.ogg
Drinking - sipping,Drinking - sipping,1-56270-A.ogg
Drinking - sipping,Drinking - sipping,1-56270-A.ogg
Rain,Rain,1-56311-A.ogg
Rain,Rain,1-56311-A.ogg
Crying baby,Cat,1-56380-A.ogg
Crying baby,Cat,1-56380-A.ogg
Cat,Cat,1-56380-B.ogg
Cat,Cat,1-56380-B.ogg
Church bells,Church bells,1-56907-A.ogg
Church bells,Church bells,1-56907-A.ogg
Clock tick,Clock tick,1-57163-A.ogg
Clock tick,Clock tick,1-57163-A.ogg
Insects (flying),Crickets,1-57316-A.ogg
Chirping birds,Crickets,1-57316-A.ogg
Crickets,Crickets,1-57318-A.ogg
Insects (flying),Crickets,1-57318-A.ogg
Cow,Sheep,1-57795-A.ogg
Sheep,Sheep,1-57795-A.ogg
Cow,Cow,1-58277-A.ogg
Cow,Cow,1-58277-A.ogg
Sneezing,Coughing,1-58792-A.ogg
Coughing,Coughing,1-58792-A.ogg
Can opening,Can opening,1-58846-A.ogg
Can opening,Can opening,1-58846-A.ogg
Brushing teeth,Brushing teeth,1-58923-A.ogg
Brushing teeth,Brushing teeth,1-58923-A.ogg
Brushing teeth,Brushing teeth,1-58923-B.ogg
Brushing teeth,Brushing teeth,1-58923-B.ogg
Insects (flying),Crickets,1-59102-A.ogg
Insects (flying),Crickets,1-59102-A.ogg
Sneezing,Sneezing,1-59324-A.ogg
Sneezing,Sneezing,1-59324-A.ogg
Dog,Dog,1-59513-A.ogg
Dog,Dog,1-59513-A.ogg
Rooster,Hen,1-5996-A.ogg
Rooster,Hen,1-5996-A.ogg
Chainsaw,Vacuum cleaner,1-60460-A.ogg
Vacuum cleaner,Vacuum cleaner,1-60460-A.ogg
Can opening,Can opening,1-60676-A.ogg
Can opening,Can opening,1-60676-A.ogg
Crying baby,Crying baby,1-60997-A.ogg
Crying baby,Crying baby,1-60997-A.ogg
Crying baby,Crying baby,1-60997-B.ogg
Crying baby,Crying baby,1-60997-B.ogg
Keyboard typing,Keyboard typing,1-61212-A.ogg
Keyboard typing,Keyboard typing,1-61212-A.ogg
Engine,Keyboard typing,1-61212-A.ogg
Drinking - sipping,Pouring water,1-61221-A.ogg
Pouring water,Pouring water,1-61221-A.ogg
Sea waves,Sea waves,1-61252-A.ogg
Sea waves,Sea waves,1-61252-A.ogg
Engine,Engine,1-61261-A.ogg
Engine,Engine,1-61261-A.ogg
Brushing teeth,Brushing teeth,1-61534-A.ogg
Brushing teeth,Brushing teeth,1-61534-A.ogg
Sea waves,Train,1-62509-A.ogg
Train,Train,1-62509-A.ogg
Washing machine,Engine,1-62565-A.ogg
Engine,Engine,1-62565-A.ogg
Keyboard typing,Keyboard typing,1-62594-A.ogg
Keyboard typing,Keyboard typing,1-62594-A.ogg
Clock tick,Clock tick,1-62849-A.ogg
Clock tick,Clock tick,1-62849-A.ogg
Coughing,Clock tick,1-62850-A.ogg
Clock tick,Clock tick,1-62850-A.ogg
Coughing,Coughing,1-63679-A.ogg
Coughing,Coughing,1-63679-A.ogg
Rain,Rain,1-63871-A.ogg
Rain,Rain,1-63871-A.ogg
Chainsaw,Chainsaw,1-64398-A.ogg
Chainsaw,Chainsaw,1-64398-A.ogg
Chainsaw,Chainsaw,1-64398-B.ogg
Car horn,Chainsaw,1-64398-B.ogg
Train,Train,1-64473-A.ogg
Train,Train,1-64473-A.ogg
Crickets,Crickets,1-65483-A.ogg
Crickets,Crickets,1-65483-A.ogg
Clock alarm,Clock alarm,1-67033-A.ogg
Clock alarm,Clock alarm,1-67033-A.ogg
Toilet flush,Pouring water,1-67152-A.ogg
Drinking - sipping,Pouring water,1-67152-A.ogg
Drinking - sipping,Drinking - sipping,1-67230-A.ogg
Drinking - sipping,Drinking - sipping,1-67230-A.ogg
Brushing teeth,Brushing teeth,1-67432-A.ogg
Brushing teeth,Brushing teeth,1-67432-A.ogg
Brushing teeth,Brushing teeth,1-68628-A.ogg
Brushing teeth,Brushing teeth,1-68628-A.ogg
Can opening,Can opening,1-68670-A.ogg
Can opening,Can opening,1-68670-A.ogg
Can opening,Can opening,1-68734-A.ogg
Keyboard typing,Can opening,1-68734-A.ogg
Can opening,Can opening,1-68734-A.ogg
Can opening,Can opening,1-69165-A.ogg
Can opening,Can opening,1-69165-A.ogg
Cow,Cow,1-69422-A.ogg
Cow,Cow,1-69422-A.ogg
Cow,Cow,1-69641-A.ogg
Cow,Cow,1-69641-A.ogg
Thunderstorm,Wind,1-69760-A.ogg
Wind,Wind,1-69760-A.ogg
Engine,Train,1-70300-A.ogg
Train,Train,1-70300-A.ogg
Fireworks,Crackling fire,1-7057-A.ogg
Crackling fire,Crackling fire,1-7057-A.ogg
Hen,Hen,1-71030-A.ogg
Hen,Hen,1-71030-A.ogg
Clock alarm,Clock alarm,1-72195-A.ogg
Clock alarm,Clock alarm,1-72195-A.ogg
Clock tick,Clock alarm,1-72195-B.ogg
Clock alarm,Clock alarm,1-72195-B.ogg
Clock alarm,Clock alarm,1-72195-B.ogg
Hen,Hen,1-72229-A.ogg
Rooster,Hen,1-72229-A.ogg
Hen,Hen,1-72229-B.ogg
Hen,Hen,1-72229-B.ogg
Laughing,Laughing,1-72695-A.ogg
Laughing,Laughing,1-72695-A.ogg
Laughing,Laughing,1-73123-A.ogg
Laughing,Laughing,1-73123-A.ogg
Insects (flying),Insects (flying),1-73585-A.ogg
Insects (flying),Insects (flying),1-73585-A.ogg
Clock alarm,Clock alarm,1-74517-A.ogg
Clock alarm,Clock alarm,1-74517-A.ogg
Helicopter,Crickets,1-7456-A.ogg
Crickets,Crickets,1-7456-A.ogg
Crow,Crow,1-75162-A.ogg
Crow,Crow,1-75162-A.ogg
Insects (flying),Insects (flying),1-75189-A.ogg
Insects (flying),Insects (flying),1-75189-A.ogg
Sheep,Sheep,1-75190-A.ogg
Sheep,Sheep,1-75190-A.ogg
Siren,Siren,1-76831-A.ogg
Siren,Siren,1-76831-A.ogg
Clock alarm,Siren,1-76831-B.ogg
Clock alarm,Siren,1-76831-B.ogg
Siren,Siren,1-76831-C.ogg
Siren,Siren,1-76831-D.ogg
Siren,Siren,1-76831-D.ogg
Clock alarm,Siren,1-76831-E.ogg
Clock alarm,Siren,1-76831-E.ogg
Cow,Cow,1-77160-A.ogg
Cow,Cow,1-77160-A.ogg
Cow,Cow,1-77241-A.ogg
Cow,Cow,1-77241-A.ogg
Sheep,Cat,1-79113-A.ogg
Sheep,Cat,1-79113-A.ogg
Drinking - sipping,Drinking - sipping,1-79146-A.ogg
Drinking - sipping,Drinking - sipping,1-79146-A.ogg
Pouring water,Pouring water,1-79220-A.ogg
Pouring water,Pouring water,1-79220-A.ogg
Chainsaw,Vacuum cleaner,1-79236-A.ogg
Vacuum cleaner,Vacuum cleaner,1-79236-A.ogg
Keyboard typing,Keyboard typing,1-79711-A.ogg
Crackling fire,Keyboard typing,1-79711-A.ogg
Hand saw,Hand saw,1-7974-A.ogg
Chainsaw,Hand saw,1-7974-A.ogg
Hand saw,Hand saw,1-7974-B.ogg
Hand saw,Hand saw,1-7974-B.ogg
Insects (flying),Insects (flying),1-80785-A.ogg
Insects (flying),Insects (flying),1-80785-A.ogg
Snoring,Crickets,1-80840-A.ogg
Train,Crickets,1-80840-A.ogg
Crickets,Crickets,1-80841-A.ogg
Crickets,Crickets,1-80841-A.ogg
Door knock,Door knock,1-81001-A.ogg
Door knock,Door knock,1-81001-A.ogg
Door knock,Door knock,1-81001-B.ogg
Cow,Cow,1-81269-A.ogg
Cow,Cow,1-81269-A.ogg
Mouse click,Mouse click,1-81851-A.ogg
Mouse click,Mouse click,1-81851-A.ogg
Coughing,Sneezing,1-81883-A.ogg
Sneezing,Sneezing,1-81883-A.ogg
Door knock,Door knock,1-82817-A.ogg
Door knock,Door knock,1-82817-A.ogg
Keyboard typing,Keyboard typing,1-84393-A.ogg
Keyboard typing,Keyboard typing,1-84393-A.ogg
Glass breaking,Glass breaking,1-84536-A.ogg
Glass breaking,Glass breaking,1-84536-A.ogg
Glass breaking,Glass breaking,1-84705-A.ogg
Glass breaking,Glass breaking,1-84705-A.ogg
Mouse click,Mouse click,1-85123-A.ogg
Wind,Mouse click,1-85123-A.ogg
Glass breaking,Glass breaking,1-85168-A.ogg
Glass breaking,Glass breaking,1-85168-A.ogg
Glass breaking,Glass breaking,1-85184-A.ogg
Glass breaking,Glass breaking,1-85184-A.ogg
Dog,Dog,1-85362-A.ogg
Dog,Dog,1-85362-A.ogg
Drinking - sipping,Drinking - sipping,1-85909-A.ogg
Drinking - sipping,Drinking - sipping,1-85909-A.ogg
Drinking - sipping,Drinking - sipping,1-87565-A.ogg
Drinking - sipping,Drinking - sipping,1-87565-A.ogg
Train,Train,1-88409-A.ogg
Train,Train,1-88409-A.ogg
Train,Train,1-88409-B.ogg
Train,Train,1-88409-B.ogg
Sheep,Sheep,1-88574-A.ogg
Sheep,Sheep,1-88574-A.ogg
Glass breaking,Glass breaking,1-88807-A.ogg
Glass breaking,Glass breaking,1-88807-A.ogg
Train,Sea waves,1-91359-A.ogg
Sea waves,Sea waves,1-91359-A.ogg
Clapping,Clapping,1-94036-A.ogg
Clapping,Clapping,1-94036-A.ogg
Keyboard typing,Keyboard typing,1-94231-A.ogg
Crackling fire,Keyboard typing,1-94231-A.ogg
Keyboard typing,Keyboard typing,1-94231-B.ogg
Keyboard typing,Keyboard typing,1-94231-B.ogg
Mouse click,Mouse click,1-95563-A.ogg
Mouse click,Mouse click,1-95563-A.ogg
Clock alarm,Clock alarm,1-96890-A.ogg
Clock alarm,Clock alarm,1-96890-A.ogg
Crow,Crow,1-96950-A.ogg
Crow,Crow,1-96950-A.ogg
Frog,Crow,1-96950-B.ogg
Crow,Crow,1-96950-B.ogg
Dog,Dog,1-97392-A.ogg
Dog,Dog,1-97392-A.ogg
Mouse click,Mouse click,1-97793-A.ogg
Mouse click,Mouse click,1-97793-A.ogg
Glass breaking,Glass breaking,1-977-A.ogg
Glass breaking,Glass breaking,1-977-A.ogg
Crickets,Crickets,1-9841-A.ogg
Crickets,Crickets,1-9841-A.ogg
Hand saw,Hand saw,1-9886-A.ogg
Chainsaw,Hand saw,1-9886-A.ogg
Hand saw,Hand saw,1-9887-A.ogg
Hand saw,Hand saw,1-9887-A.ogg
Hand saw,Hand saw,1-9887-B.ogg
Hand saw,Hand saw,1-9887-B.ogg
Mouse click,Mouse click,1-99958-A.ogg
Mouse click,Mouse click,1-99958-A.ogg
Car horn,Car horn,2-100648-A.ogg
Car horn,Car horn,2-100648-A.ogg
Rooster,Rooster,2-100786-A.ogg
Hen,Rooster,2-100786-A.ogg
Rain,Rain,2-101676-A.ogg
Rain,Rain,2-101676-A.ogg
Drinking - sipping,Pouring water,2-102414-A.ogg
Pouring water,Pouring water,2-102414-A.ogg
Pouring water,Pouring water,2-102414-B.ogg
Pouring water,Pouring water,2-102414-B.ogg
Pouring water,Pouring water,2-102414-C.ogg
Pouring water,Pouring water,2-102414-C.ogg
Pouring water,Pouring water,2-102414-D.ogg
Water drops,Pouring water,2-102414-D.ogg
Toilet flush,Pouring water,2-102414-E.ogg
Water drops,Pouring water,2-102414-E.ogg
Drinking - sipping,Pouring water,2-102414-F.ogg
Pouring water,Pouring water,2-102414-F.ogg
Pouring water,Pouring water,2-102414-G.ogg
Pouring water,Pouring water,2-102414-G.ogg
Hand saw,Clock alarm,2-102435-A.ogg
Helicopter,Washing machine,2-102567-A.ogg
Helicopter,Washing machine,2-102567-A.ogg
Wind,Washing machine,2-102567-B.ogg
Vacuum cleaner,Washing machine,2-102567-B.ogg
Helicopter,Washing machine,2-102567-C.ogg
Engine,Washing machine,2-102567-C.ogg
Airplane,Washing machine,2-102567-D.ogg
Helicopter,Washing machine,2-102567-D.ogg
Chainsaw,Washing machine,2-102568-A.ogg
Washing machine,Washing machine,2-102568-A.ogg
Dog,Drinking - sipping,2-102581-A.ogg
Drinking - sipping,Drinking - sipping,2-102581-A.ogg
Drinking - sipping,Drinking - sipping,2-102581-B.ogg
Drinking - sipping,Drinking - sipping,2-102581-B.ogg
Sea waves,Sea waves,2-102852-A.ogg
Pouring water,Sea waves,2-102852-A.ogg
